,Survived,Pclass,COLUMNA,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,nueva
3,1,1,9,female,35.0,1,0,113803,53.1,C123,S,hola
4,0,3,9,male,90.0,0,90,373450,90.0,8,90,hola
5,0,3,9,male,,0,0,330877,8.4583,8,Q,hola
6,0,1,9,male,90.0,0,90,17463,90.0,E46,90,hola
7,0,3,9,male,2.0,3,1,349909,21.075,8,S,hola
8,1,3,9,female,90.0,0,90,347742,90.0,8,90,hola
9,1,2,9,female,14.0,1,0,237736,30.0708,8,C,hola
10,1,3,9,female,90.0,1,90,PP 9549,90.0,G6,90,hola
11,1,1,9,female,58.0,0,0,113783,26.55,C103,S,hola
12,0,3,9,male,20.0,0,0,A/5. 2151,8.05,8,S,hola
13,0,3,9,male,39.0,1,5,347082,31.275,8,S,hola
14,0,3,9,female,14.0,0,0,350406,7.8542,8,S,hola
15,1,2,9,female,55.0,0,0,248706,16.0,8,S,hola
16,0,3,9,male,2.0,4,1,382652,29.125,8,Q,hola
17,1,2,9,male,,0,0,244373,13.0,8,S,hola
18,0,3,9,female,31.0,1,0,345763,18.0,8,S,hola
19,1,3,9,female,,0,0,2649,7.225,8,C,hola
20,0,2,9,male,35.0,0,0,239865,26.0,8,S,hola
21,1,2,9,male,34.0,0,0,248698,13.0,D56,S,hola
22,1,3,9,female,15.0,0,0,330923,8.0292,8,Q,hola
23,1,1,9,male,28.0,0,0,113788,35.5,A6,S,hola
24,0,3,9,female,8.0,3,1,349909,21.075,8,S,hola
25,1,3,9,female,38.0,1,5,347077,31.3875,8,S,hola
26,0,3,9,male,,0,0,2631,7.225,8,C,hola
27,0,1,9,male,19.0,3,2,19950,263.0,C23 C25 C27,S,hola
28,1,3,9,female,,0,0,330959,7.8792,8,Q,hola
29,0,3,9,male,,0,0,349216,7.8958,8,S,hola
30,0,1,9,male,40.0,0,0,PC 17601,27.7208,8,C,hola
31,1,1,9,female,,1,0,PC 17569,146.5208,B78,C,hola
32,1,3,9,female,,0,0,335677,7.75,8,Q,hola
33,0,2,9,male,66.0,0,0,C.A. 24579,10.5,8,S,hola
34,0,1,9,male,28.0,1,0,PC 17604,82.1708,8,C,hola
35,0,1,9,male,42.0,1,0,113789,52.0,8,S,hola
36,1,3,9,male,,0,0,2677,7.2292,8,C,hola
37,0,3,9,male,21.0,0,0,A./5. 2152,8.05,8,S,hola
38,0,3,9,female,18.0,2,0,345764,18.0,8,S,hola
39,1,3,9,female,14.0,1,0,2651,11.2417,8,C,hola
40,0,3,9,female,40.0,1,0,7546,9.475,8,S,hola
41,0,2,9,female,27.0,1,0,11668,21.0,8,S,hola
42,0,3,9,male,,0,0,349253,7.8958,8,C,hola
43,1,2,9,female,3.0,1,2,SC/Paris 2123,41.5792,8,C,hola
44,1,3,9,female,19.0,0,0,330958,7.8792,8,Q,hola
45,0,3,9,male,,0,0,S.C./A.4. 23567,8.05,8,S,hola
46,0,3,9,male,,1,0,370371,15.5,8,Q,hola
47,1,3,9,female,,0,0,14311,7.75,8,Q,hola
48,0,3,9,male,,2,0,2662,21.6792,8,C,hola
49,0,3,9,female,18.0,1,0,349237,17.8,8,S,hola
50,0,3,9,male,7.0,4,1,3101295,39.6875,8,S,hola
51,0,3,9,male,21.0,0,0,A/4. 39886,7.8,8,S,hola
52,1,1,9,female,49.0,1,0,PC 17572,76.7292,D33,C,hola
53,1,2,9,female,29.0,1,0,2926,26.0,8,S,hola
54,0,1,9,male,65.0,0,1,113509,61.9792,B30,C,hola
55,1,1,9,male,,0,0,19947,35.5,C52,S,hola
56,1,2,9,female,21.0,0,0,C.A. 31026,10.5,8,S,hola
57,0,3,9,male,28.5,0,0,2697,7.2292,8,C,hola
58,1,2,9,female,5.0,1,2,C.A. 34651,27.75,8,S,hola
59,0,3,9,male,11.0,5,2,CA 2144,46.9,8,S,hola
60,0,3,9,male,22.0,0,0,2669,7.2292,8,C,hola
61,1,1,9,female,38.0,0,0,113572,80.0,B28,,hola
62,0,1,9,male,45.0,1,0,36973,83.475,C83,S,hola
63,0,3,9,male,4.0,3,2,347088,27.9,8,S,hola
64,0,1,9,male,,0,0,PC 17605,27.7208,8,C,hola
65,1,3,9,male,,1,1,2661,15.2458,8,C,hola
66,1,2,9,female,29.0,0,0,C.A. 29395,10.5,F33,S,hola
67,0,3,9,male,19.0,0,0,S.P. 3464,8.1583,8,S,hola
68,1,3,9,female,17.0,4,2,3101281,7.925,8,S,hola
69,0,3,9,male,26.0,2,0,315151,8.6625,8,S,hola
70,0,2,9,male,32.0,0,0,C.A. 33111,10.5,8,S,hola
71,0,3,9,female,16.0,5,2,CA 2144,46.9,8,S,hola
72,0,2,9,male,21.0,0,0,S.O.C. 14879,73.5,8,S,hola
73,0,3,9,male,26.0,1,0,2680,14.4542,8,C,hola
74,1,3,9,male,32.0,0,0,1601,56.4958,8,S,hola
75,0,3,9,male,25.0,0,0,348123,7.65,F G73,S,hola
76,0,3,9,male,,0,0,349208,7.8958,8,S,hola
77,0,3,9,male,,0,0,374746,8.05,8,S,hola
78,1,2,9,male,0.83,0,2,248738,29.0,8,S,hola
79,1,3,9,female,30.0,0,0,364516,12.475,8,S,hola
80,0,3,9,male,22.0,0,0,345767,9.0,8,S,hola
81,1,3,9,male,29.0,0,0,345779,9.5,8,S,hola
82,1,3,9,female,,0,0,330932,7.7875,8,Q,hola
83,0,1,9,male,28.0,0,0,113059,47.1,8,S,hola
84,1,2,9,female,17.0,0,0,SO/C 14885,10.5,8,S,hola
85,1,3,9,female,33.0,3,0,3101278,15.85,8,S,hola
86,0,3,9,male,16.0,1,3,W./C. 6608,34.375,8,S,hola
87,0,3,9,male,,0,0,SOTON/OQ 392086,8.05,8,S,hola
88,1,1,9,female,23.0,3,2,19950,263.0,C23 C25 C27,S,hola
89,0,3,9,male,24.0,0,0,343275,8.05,8,S,hola
90,0,3,9,male,29.0,0,0,343276,8.05,8,S,hola
91,0,3,9,male,20.0,0,0,347466,7.8542,8,S,hola
92,0,1,9,male,46.0,1,0,W.E.P. 5734,61.175,E31,S,hola
93,0,3,9,male,26.0,1,2,C.A. 2315,20.575,8,S,hola
94,0,3,9,male,59.0,0,0,364500,7.25,8,S,hola
95,0,3,9,male,,0,0,374910,8.05,8,S,hola
96,0,1,9,male,71.0,0,0,PC 17754,34.6542,A5,C,hola
97,1,1,9,male,23.0,0,1,PC 17759,63.3583,D10 D12,C,hola
98,1,2,9,female,34.0,0,1,231919,23.0,8,S,hola
99,0,2,9,male,34.0,1,0,244367,26.0,8,S,hola
100,0,3,9,female,28.0,0,0,349245,7.8958,8,S,hola
101,0,3,9,male,,0,0,349215,7.8958,8,S,hola
102,0,1,9,male,21.0,0,1,35281,77.2875,D26,S,hola
103,0,3,9,male,33.0,0,0,7540,8.6542,8,S,hola
104,0,3,9,male,37.0,2,0,3101276,7.925,8,S,hola
105,0,3,9,male,28.0,0,0,349207,7.8958,8,S,hola
106,1,3,9,female,21.0,0,0,343120,7.65,8,S,hola
107,1,3,9,male,,0,0,312991,7.775,8,S,hola
108,0,3,9,male,38.0,0,0,349249,7.8958,8,S,hola
109,1,3,9,female,,1,0,371110,24.15,8,Q,hola
110,0,1,9,male,47.0,0,0,110465,52.0,C110,S,hola
111,0,3,9,female,14.5,1,0,2665,14.4542,8,C,hola
112,0,3,9,male,22.0,0,0,324669,8.05,8,S,hola
113,0,3,9,female,20.0,1,0,4136,9.825,8,S,hola
114,0,3,9,female,17.0,0,0,2627,14.4583,8,C,hola
115,0,3,9,male,21.0,0,0,STON/O 2. 3101294,7.925,8,S,hola
116,0,3,9,male,70.5,0,0,370369,7.75,8,Q,hola
117,0,2,9,male,29.0,1,0,11668,21.0,8,S,hola
118,0,1,9,male,24.0,0,1,PC 17558,247.5208,B58 B60,C,hola
119,0,3,9,female,2.0,4,2,347082,31.275,8,S,hola
120,0,2,9,male,21.0,2,0,S.O.C. 14879,73.5,8,S,hola
121,0,3,9,male,,0,0,A4. 54510,8.05,8,S,hola
122,0,2,9,male,32.5,1,0,237736,30.0708,8,C,hola
123,1,2,9,female,32.5,0,0,27267,13.0,E101,S,hola
124,0,1,9,male,54.0,0,1,35281,77.2875,D26,S,hola
125,1,3,9,male,12.0,1,0,2651,11.2417,8,C,hola
126,0,3,9,male,,0,0,370372,7.75,8,Q,hola
127,1,3,9,male,24.0,0,0,C 17369,7.1417,8,S,hola
128,1,3,9,female,,1,1,2668,22.3583,F E69,C,hola
129,0,3,9,male,45.0,0,0,347061,6.975,8,S,hola
130,0,3,9,male,33.0,0,0,349241,7.8958,8,C,hola
131,0,3,9,male,20.0,0,0,SOTON/O.Q. 3101307,7.05,8,S,hola
132,0,3,9,female,47.0,1,0,A/5. 3337,14.5,8,S,hola
133,1,2,9,female,29.0,1,0,228414,26.0,8,S,hola
134,0,2,9,male,25.0,0,0,C.A. 29178,13.0,8,S,hola
135,0,2,9,male,23.0,0,0,SC/PARIS 2133,15.0458,8,C,hola
136,1,1,9,female,19.0,0,2,11752,26.2833,D47,S,hola
137,0,1,9,male,37.0,1,0,113803,53.1,C123,S,hola
138,0,3,9,male,16.0,0,0,7534,9.2167,8,S,hola
139,0,1,9,male,24.0,0,0,PC 17593,79.2,B86,C,hola
140,0,3,9,female,,0,2,2678,15.2458,8,C,hola
141,1,3,9,female,22.0,0,0,347081,7.75,8,S,hola
142,1,3,9,female,24.0,1,0,STON/O2. 3101279,15.85,8,S,hola
143,0,3,9,male,19.0,0,0,365222,6.75,8,Q,hola
144,0,2,9,male,18.0,0,0,231945,11.5,8,S,hola
145,0,2,9,male,19.0,1,1,C.A. 33112,36.75,8,S,hola
146,1,3,9,male,27.0,0,0,350043,7.7958,8,S,hola
147,0,3,9,female,9.0,2,2,W./C. 6608,34.375,8,S,hola
148,0,2,9,male,36.5,0,2,230080,26.0,F2,S,hola
149,0,2,9,male,42.0,0,0,244310,13.0,8,S,hola
150,0,2,9,male,51.0,0,0,S.O.P. 1166,12.525,8,S,hola
151,1,1,9,female,22.0,1,0,113776,66.6,C2,S,hola
152,0,3,9,male,55.5,0,0,A.5. 11206,8.05,8,S,hola
153,0,3,9,male,40.5,0,2,A/5. 851,14.5,8,S,hola
154,0,3,9,male,,0,0,Fa 265302,7.3125,8,S,hola
155,0,1,9,male,51.0,0,1,PC 17597,61.3792,8,C,hola
156,1,3,9,female,16.0,0,0,35851,7.7333,8,Q,hola
157,0,3,9,male,30.0,0,0,SOTON/OQ 392090,8.05,8,S,hola
158,0,3,9,male,,0,0,315037,8.6625,8,S,hola
159,0,3,9,male,,8,2,CA. 2343,69.55,8,S,hola
160,0,3,9,male,44.0,0,1,371362,16.1,8,S,hola
161,1,2,9,female,40.0,0,0,C.A. 33595,15.75,8,S,hola
162,0,3,9,male,26.0,0,0,347068,7.775,8,S,hola
163,0,3,9,male,17.0,0,0,315093,8.6625,8,S,hola
164,0,3,9,male,1.0,4,1,3101295,39.6875,8,S,hola
165,1,3,9,male,9.0,0,2,363291,20.525,8,S,hola
166,1,1,9,female,,0,1,113505,55.0,E33,S,hola
167,0,3,9,female,45.0,1,4,347088,27.9,8,S,hola
168,0,1,9,male,,0,0,PC 17318,25.925,8,S,hola
169,0,3,9,male,28.0,0,0,1601,56.4958,8,S,hola
170,0,1,9,male,61.0,0,0,111240,33.5,B19,S,hola
171,0,3,9,male,4.0,4,1,382652,29.125,8,Q,hola
172,1,3,9,female,1.0,1,1,347742,11.1333,8,S,hola
173,0,3,9,male,21.0,0,0,STON/O 2. 3101280,7.925,8,S,hola
174,0,1,9,male,56.0,0,0,17764,30.6958,A7,C,hola
175,0,3,9,male,18.0,1,1,350404,7.8542,8,S,hola
176,0,3,9,male,,3,1,4133,25.4667,8,S,hola
177,0,1,9,female,50.0,0,0,PC 17595,28.7125,C49,C,hola
178,0,2,9,male,30.0,0,0,250653,13.0,8,S,hola
179,0,3,9,male,36.0,0,0,LINE,0.0,8,S,hola
180,0,3,9,female,,8,2,CA. 2343,69.55,8,S,hola
181,0,2,9,male,,0,0,SC/PARIS 2131,15.05,8,C,hola
182,0,3,9,male,9.0,4,2,347077,31.3875,8,S,hola
183,1,2,9,male,1.0,2,1,230136,39.0,F4,S,hola
184,1,3,9,female,4.0,0,2,315153,22.025,8,S,hola
185,0,1,9,male,,0,0,113767,50.0,A32,S,hola
186,1,3,9,female,,1,0,370365,15.5,8,Q,hola
187,1,1,9,male,45.0,0,0,111428,26.55,8,S,hola
188,0,3,9,male,40.0,1,1,364849,15.5,8,Q,hola
189,0,3,9,male,36.0,0,0,349247,7.8958,8,S,hola
190,1,2,9,female,32.0,0,0,234604,13.0,8,S,hola
191,0,2,9,male,19.0,0,0,28424,13.0,8,S,hola
192,1,3,9,female,19.0,1,0,350046,7.8542,8,S,hola
193,1,2,9,male,3.0,1,1,230080,26.0,F2,S,hola
194,1,1,9,female,44.0,0,0,PC 17610,27.7208,B4,C,hola
195,1,1,9,female,58.0,0,0,PC 17569,146.5208,B80,C,hola
196,0,3,9,male,,0,0,368703,7.75,8,Q,hola
197,0,3,9,male,42.0,0,1,4579,8.4042,8,S,hola
198,1,3,9,female,,0,0,370370,7.75,8,Q,hola
199,0,2,9,female,24.0,0,0,248747,13.0,8,S,hola
200,0,3,9,male,28.0,0,0,345770,9.5,8,S,hola
201,0,3,9,male,,8,2,CA. 2343,69.55,8,S,hola
202,0,3,9,male,34.0,0,0,3101264,6.4958,8,S,hola
203,0,3,9,male,45.5,0,0,2628,7.225,8,C,hola
204,1,3,9,male,18.0,0,0,A/5 3540,8.05,8,S,hola
205,0,3,9,female,2.0,0,1,347054,10.4625,G6,S,hola
206,0,3,9,male,32.0,1,0,3101278,15.85,8,S,hola
207,1,3,9,male,26.0,0,0,2699,18.7875,8,C,hola
208,1,3,9,female,16.0,0,0,367231,7.75,8,Q,hola
209,1,1,9,male,40.0,0,0,112277,31.0,A31,C,hola
210,0,3,9,male,24.0,0,0,SOTON/O.Q. 3101311,7.05,8,S,hola
211,1,2,9,female,35.0,0,0,F.C.C. 13528,21.0,8,S,hola
212,0,3,9,male,22.0,0,0,A/5 21174,7.25,8,S,hola
213,0,2,9,male,30.0,0,0,250646,13.0,8,S,hola
214,0,3,9,male,,1,0,367229,7.75,8,Q,hola
215,1,1,9,female,31.0,1,0,35273,113.275,D36,C,hola
216,1,3,9,female,27.0,0,0,STON/O2. 3101283,7.925,8,S,hola
217,0,2,9,male,42.0,1,0,243847,27.0,8,S,hola
218,1,1,9,female,32.0,0,0,11813,76.2917,D15,C,hola
219,0,2,9,male,30.0,0,0,W/C 14208,10.5,8,S,hola
220,1,3,9,male,16.0,0,0,SOTON/OQ 392089,8.05,8,S,hola
221,0,2,9,male,27.0,0,0,220367,13.0,8,S,hola
222,0,3,9,male,51.0,0,0,21440,8.05,8,S,hola
223,0,3,9,male,,0,0,349234,7.8958,8,S,hola
224,1,1,9,male,38.0,1,0,19943,90.0,C93,S,hola
225,0,3,9,male,22.0,0,0,PP 4348,9.35,8,S,hola
226,1,2,9,male,19.0,0,0,SW/PP 751,10.5,8,S,hola
227,0,3,9,male,20.5,0,0,A/5 21173,7.25,8,S,hola
228,0,2,9,male,18.0,0,0,236171,13.0,8,S,hola
229,0,3,9,female,,3,1,4133,25.4667,8,S,hola
230,1,1,9,female,35.0,1,0,36973,83.475,C83,S,hola
231,0,3,9,male,29.0,0,0,347067,7.775,8,S,hola
232,0,2,9,male,59.0,0,0,237442,13.5,8,S,hola
233,1,3,9,female,5.0,4,2,347077,31.3875,8,S,hola
234,0,2,9,male,24.0,0,0,C.A. 29566,10.5,8,S,hola
235,0,3,9,female,,0,0,W./C. 6609,7.55,8,S,hola
236,0,2,9,male,44.0,1,0,26707,26.0,8,S,hola
237,1,2,9,female,8.0,0,2,C.A. 31921,26.25,8,S,hola
238,0,2,9,male,19.0,0,0,28665,10.5,8,S,hola
239,0,2,9,male,33.0,0,0,SCO/W 1585,12.275,8,S,hola
240,0,3,9,female,,1,0,2665,14.4542,8,C,hola
241,1,3,9,female,,1,0,367230,15.5,8,Q,hola
242,0,2,9,male,29.0,0,0,W./C. 14263,10.5,8,S,hola
243,0,3,9,male,22.0,0,0,STON/O 2. 3101275,7.125,8,S,hola
244,0,3,9,male,30.0,0,0,2694,7.225,8,C,hola
245,0,1,9,male,44.0,2,0,19928,90.0,C78,Q,hola
246,0,3,9,female,25.0,0,0,347071,7.775,8,S,hola
247,1,2,9,female,24.0,0,2,250649,14.5,8,S,hola
248,1,1,9,male,37.0,1,1,11751,52.5542,D35,S,hola
249,0,2,9,male,54.0,1,0,244252,26.0,8,S,hola
250,0,3,9,male,,0,0,362316,7.25,8,S,hola
251,0,3,9,female,29.0,1,1,347054,10.4625,G6,S,hola
252,0,1,9,male,62.0,0,0,113514,26.55,C87,S,hola
253,0,3,9,male,30.0,1,0,A/5. 3336,16.1,8,S,hola
254,0,3,9,female,41.0,0,2,370129,20.2125,8,S,hola
255,1,3,9,female,29.0,0,2,2650,15.2458,8,C,hola
256,1,1,9,female,,0,0,PC 17585,79.2,8,C,hola
257,1,1,9,female,30.0,0,0,110152,86.5,B77,S,hola
258,1,1,9,female,35.0,0,0,PC 17755,512.3292,8,C,hola
259,1,2,9,female,50.0,0,1,230433,26.0,8,S,hola
260,0,3,9,male,,0,0,384461,7.75,8,Q,hola
261,1,3,9,male,3.0,4,2,347077,31.3875,8,S,hola
262,0,1,9,male,52.0,1,1,110413,79.65,E67,S,hola
263,0,1,9,male,40.0,0,0,112059,0.0,B94,S,hola
264,0,3,9,female,,0,0,382649,7.75,8,Q,hola
265,0,2,9,male,36.0,0,0,C.A. 17248,10.5,8,S,hola
266,0,3,9,male,16.0,4,1,3101295,39.6875,8,S,hola
267,1,3,9,male,25.0,1,0,347083,7.775,8,S,hola
268,1,1,9,female,58.0,0,1,PC 17582,153.4625,C125,S,hola
269,1,1,9,female,35.0,0,0,PC 17760,135.6333,C99,S,hola
270,0,1,9,male,,0,0,113798,31.0,8,S,hola
271,1,3,9,male,25.0,0,0,LINE,0.0,8,S,hola
272,1,2,9,female,41.0,0,1,250644,19.5,8,S,hola
273,0,1,9,male,37.0,0,1,PC 17596,29.7,C118,C,hola
274,1,3,9,female,,0,0,370375,7.75,8,Q,hola
275,1,1,9,female,63.0,1,0,13502,77.9583,D7,S,hola
276,0,3,9,female,45.0,0,0,347073,7.75,8,S,hola
277,0,2,9,male,,0,0,239853,0.0,8,S,hola
278,0,3,9,male,7.0,4,1,382652,29.125,8,Q,hola
279,1,3,9,female,35.0,1,1,C.A. 2673,20.25,8,S,hola
280,0,3,9,male,65.0,0,0,336439,7.75,8,Q,hola
281,0,3,9,male,28.0,0,0,347464,7.8542,8,S,hola
282,0,3,9,male,16.0,0,0,345778,9.5,8,S,hola
283,1,3,9,male,19.0,0,0,A/5. 10482,8.05,8,S,hola
284,0,1,9,male,,0,0,113056,26.0,A19,S,hola
285,0,3,9,male,33.0,0,0,349239,8.6625,8,C,hola
286,1,3,9,male,30.0,0,0,345774,9.5,8,S,hola
287,0,3,9,male,22.0,0,0,349206,7.8958,8,S,hola
288,1,2,9,male,42.0,0,0,237798,13.0,8,S,hola
289,1,3,9,female,22.0,0,0,370373,7.75,8,Q,hola
290,1,1,9,female,26.0,0,0,19877,78.85,8,S,hola
291,1,1,9,female,19.0,1,0,11967,91.0792,B49,C,hola
292,0,2,9,male,36.0,0,0,SC/Paris 2163,12.875,D,C,hola
293,0,3,9,female,24.0,0,0,349236,8.85,8,S,hola
294,0,3,9,male,24.0,0,0,349233,7.8958,8,S,hola
295,0,1,9,male,,0,0,PC 17612,27.7208,8,C,hola
296,0,3,9,male,23.5,0,0,2693,7.2292,8,C,hola
297,0,1,9,female,2.0,1,2,113781,151.55,C22 C26,S,hola
298,1,1,9,male,,0,0,19988,30.5,C106,S,hola
